date,price,fast_ma,slow_ma,signal
2026-02-09,70542.37329463876,81204.35991976029,86951.9646938009,0
2026-02-10,70096.40692272567,80293.53823926879,86582.34442458366,0
2026-02-11,68779.90981269129,79264.81654114729,86188.12021667985,0
2026-02-12,66937.58141157958,78139.52573965283,85778.74311756383,0
2026-02-13,66184.57765470445,76978.13469741149,85349.58249303394,0
2026-02-14,68838.87490510389,75961.53476040093,84981.76437793384,0
2026-02-15,69765.59638824302,75122.39847307817,84630.95717450642,0
2026-02-16,68716.58337486399,74142.83458146919,84249.14877778821,0
2026-02-17,68907.78353606178,73128.01263844999,83870.84628269408,0
2026-02-18,67489.45540267964,72044.38055779651,83477.50413753165,0
2026-02-19,66456.3537620677,71138.67779283192,83038.33864155832,0
2026-02-20,66918.68417467622,70277.52307308209,82626.30871530328,0
2026-02-21,67970.29403133177,69739.74484770642,82211.16119507997,0
2026-02-22,67977.90904199042,69291.78709648752,81772.1937909291,0
2026-02-23,67585.11718938159,68732.66004828364,81312.01904608063,0
2026-02-24,64577.553200674425,68179.58987321366,80776.10579247243,0
2026-02-25,64074.11098528222,67724.6808208533,80179.05209920678,0
2026-02-26,67947.39185585188,67979.3658944229,79664.66265886095,0
2026-02-27,67469.06040327046,67826.6212060685,79188.90075811917,0
2026-02-28,65883.99096235317,67655.98041550859,78686.9102617377,0
2026-03-01,67008.45435746174,67479.28446864974,78216.98143681894,0
2026-03-02,65713.4989891121,67260.13907196907,77722.4110350318,0
2026-03-03,68864.03691918531,67264.34542729377,77283.30445363466,0
2026-03-04,68321.6178484252,67333.54724913604,76827.03742701285,0
2026-03-05,72669.7701652216,67657.80687466191,76375.22398437528,0
2026-03-06,70874.98687140146,67759.61247297678,75852.56810602706,0
2026-03-07,68148.28339966535,67678.7468235479,75303.83721444466,0
2026-03-08,67271.1907777184,67606.47719369062,74738.9394756016,0
2026-03-09,66036.15782362667,67462.89590806887,74157.67199356321,0
2026-03-10,68459.31537095344,67511.38890648255,73651.80418554464,0
2026-03-11,70037.11007201439,67690.4267219799,73201.3771201105,0
